Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Anionic Reorganisation Energy /eV,Cationic Reorganisation Energy /eV
1_50_thio_B,COc1cc2cc(-c3sc(C4:cc(F)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.628319,-2.588099,2.04022,3.010074390519944,0.9999982562265343,247.4569999976665,312.5139999974635
1_78_thio_B,COc1cc2cc(-c3sc(C4:nc(O)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.712794,-2.726333,1.986461,3.225158290341053,0.9999992956707532,244.4639999957871,100000000.0
1_55_double_A,COc1cc2cc(C=CC3:cc(C#N)cc4nsnc:34)[nH]c2cc1OC,-5.032503,-2.856564,2.175939,3.01315625869443,0.9999999529240898,227.0579999967594,277.8239999970537
1_170_double_A,COc1cc2cc(C=CC3:c(C=O)ncc4nonc:34)[nH]c2cc1OC,-5.171867,-3.125031,2.046835,3.2069082586944297,0.9999944006163916,229.814999991504,256.1869999917689
1_184_thio_B,COc1cc2cc(-c3sc(C4:nc(C=O)cc5nonc:45)cc3OC)[nH]c2cc1OC,-5.107033,-3.231707,1.875327,3.214662044138267,0.9999871366401248,245.4539999962435,279.1660000002594
5_152_triple_A,COc1cc2cc(C#CC3:c(C#N)ccc4nonc:34)n(C)c2cc1OC,-5.421005,-3.076598,2.344407,3.054763524275584,1.0,223.58499999972992,282.05899999738904
1_83_triple_A,COc1cc2cc(C#CC3:nc(C#N)cc4nsnc:34)[nH]c2cc1OC,-5.534357,-3.26606,2.268297,3.3610602586944296,1.0,227.0690000004833,100000000.0
1_74_double_A,COc1cc2cc(C=CC3:nc(C=O)cc4nsnc:34)[nH]c2cc1OC,-5.098307,-2.949976,2.148331,3.2391384125405835,0.9999999993835753,237.7469999919412,273.0910000027506
1_179_double_A,COc1cc2cc(C=CC3:c(C#N)ncc4nonc:34)[nH]c2cc1OC,-5.295049,-3.170602,2.124447,3.1521845663867367,0.999993761410974,224.199000003864,239.9360000017623
1_69_imine_B,COc1cc2cc(N=CC3:c(C#N)ncc4nsnc:34)[nH]c2cc1OC,-5.335411,-3.335155,2.000256,3.377485489463661,0.9999934838419415,236.6439999968861,702.0919999995385
1_76_thio_B,COc1cc2cc(-c3sc(C4:nc(C(F)(F)F)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.953357,-3.037773,1.915584,3.221067844405564,0.9999583879393619,244.5380000062869,631.8459999965853
1_69_imine_A,COc1cc2cc(C=NC3:c(C#N)ncc4nsnc:34)[nH]c2cc1OC,-5.374845,-3.183528,2.191317,3.287131027925198,0.9999999998505191,233.5249999960069,251.6610000020591
1_53_thio_B,COc1cc2cc(-c3sc(C4:cc(Br)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.647296,-2.695229,1.952067,3.0420268055467776,0.9996762401943223,239.02200000884469,506.9249999942258
1_152_double_A,COc1cc2cc(C=CC3:c(C#N)ccc4nonc:34)[nH]c2cc1OC,-5.171828,-2.920713,2.251115,2.9589679510021227,0.9999992799854688,216.2490000009711,247.7139999973587
1_42_imine_B,COc1cc2cc(N=CC3:c(C#N)ccc4nsnc:34)[nH]c2cc1OC,-5.225617,-3.087321,2.138295,3.1764227202328907,0.9999878533616366,232.1860000010929,262.605000003532
1_192_thio_B,COc1cc2cc(-c3sc(C4:nc(C)cc5nonc:45)cc3OC)[nH]c2cc1OC,-5.030521,-2.880218,2.150303,3.030553818069139,0.9999974519796464,246.966999999131,284.7390000024461
1_60_thio_B,COc1cc2cc(-c3sc(C4:c(C=O)ncc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.780132,-3.077305,1.702827,3.289061006973183,0.9964345895477199,204.2610000062268,280.3260000000591
1_193_double_A,COc1cc2cc(C=CC3:nc(C#N)cc4nonc:34)[nH]c2cc1OC,-5.360034,-3.130197,2.229837,3.1903261048482765,0.9999999980762919,234.5279999972263,257.5900000010733
