Name,SMILES,Planarity,RDKit Planarity,RDKit MMFFOptimize Planarity,HOMO-LUMO Energy Gap /eV,Linker Type,Functional Group
g_13_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C(SC=C3S4)=C3SC4=S)=C2,0.9999970604933276,0.9297134473881823,0.6860297145449252,3.08032878766,imine,None
g_13_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C(SC=C4S5)=C4SC5=S)S3)=C2,0.9224801059077604,0.9999996972918761,0.8207378527235566,2.701818421614501,thio,None
g_16_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=C3N=CC=N4)=C1OC)NC=C2,0.9862801100053072,0.9732840756402081,0.6680475063761622,3.043865531693,double,None
g_16_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=C3N=CC=N4)=C1OC)NC=C2,1.0,1.0,1.0,2.8514810393895,triple,None
g_16_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=C3N=CC=N4)=C1OC)NC=C2,0.7574656655095986,0.28749769151147136,0.7433296746452845,2.8835904737485003,imine,None
g_16_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=CC=CC4=C3N=CC=N4)=C2,0.999987806952132,0.9999999997496416,0.8900119786186944,2.7921602199805,double,None
g_16_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=CC=CC4=C3N=CC=N4)=C2,1.0,1.0,1.0,2.916516249659,triple,None
g_16_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=CC=CC4=C3N=CC=N4)=C2,0.8957110115440057,0.845506457667279,0.7906456493627575,3.2302635192855007,imine,None
g_16_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=CC=CC5=C4N=CC=N5)S3)=C2,0.9385930032794332,0.9999999952139259,0.7888945224170689,2.7567854194155004,thio,None
g_17_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=C4N=CC=NC4=CS3)=C2,0.9999999544529716,0.9999999992389597,0.9999992178709447,2.2857563442000006,double,None
g_17_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=C4N=CC=NC4=CS3)=C2,1.0,1.0,1.0,2.6022247523315007,triple,None
g_17_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=C4N=CC=NC4=CS3)=C2,0.9999997030242632,0.8199367158308393,0.8864411218115998,2.5894354013580005,imine,None
g_17_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=C5N=CC=NC5=CS4)S3)=C2,0.9718655518246988,0.9999999978732381,0.931884366379713,2.2585449591500004,thio,None
g_18_v1_triple,COC1=CC2=C(C(/C#C/C3=NC=CC4=NSN=C34)=C1OC)NC=C2,1.0,1.0,1.0,2.4743312425965005,triple,None
