D_A,donor,acceptor,D_A_a_crit,D_A_d_crit,A_D_a_crit,A_D_d_crit,Predicted_eg,Predicted_eg_Melanin_acceptor,HOMO-pi,LUMO-pi,HOMO-mel,LUMO-mel,Type,Melanin_substitution_type,DHI_or_DHICA
b_0,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CC1=CSC=C1,1.2986051807571874,1.0736692285795617,0.7824012612014604,0.9463159641553268,4.779679784,6.559032252452,-6.2529041706395,-0.0459872407345,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_1,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,COC1=CSC=C1,1.1668879524331812,1.0886682445303932,0.86708046,0.9293793103448276,4.713828232,5.918476248375,-5.6123481665625,-0.1118387925555,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_2,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CNC1=CSC=C1,0.9837075941904712,1.010718688032585,1.016383724063595,0.9892212341686876,5.077372336,5.049072496027501,-4.742944414215001,0.2517053117125,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_3,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CC1=COC=C1,1.2476579026896344,0.949884154,0.7931948183041723,1.0418489232839838,5.402548388,6.469778909488,-6.1636508276755,0.57688136306,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_4,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,COC1=COC=C1,1.1506181706253529,0.9674755040270866,0.8652902041752695,1.0290892406515255,5.304315288,5.9307213716475005,-5.624593289835,0.47864826302950003,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_5,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CNC1=COC=C1,1.002895936194455,0.8953190277250285,0.9967758985200844,1.1165433403805498,5.7318061469320005,5.14839405146,-4.8422659696475,0.9061391221650001,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_6,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C1=CC=CO1,1.292023902312289,0.9799428422967006,0.7704154581478001,1.0157686179991012,5.236831053,6.6610749463895,-6.354946864577,0.4111640281055,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_7,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C1=CC=CS1,1.349656104873317,1.108635589,0.7602289676301044,0.9255048978111016,4.628928711,6.7503282893535,-6.444200207541,-0.1967383139115,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_8,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C12=CSC=C1OCCO2,1.195840652802176,1.0686802289340964,0.8451265964597805,0.9456867577862424,4.80199312,6.0722205739075,-5.766092492095,-0.0236739049935,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_9,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C12=NSN=C1C=CC=C2,1.727203565,2.049668514291925,0.7381213307240705,0.6219960861056752,2.503719538,6.952508880275,-6.6463807984625,-2.3219474863165,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_10,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,O=C1NC=C2C1=CNC2=O,1.2944410507025046,1.920077377316229,0.8670405958346743,0.584524849,2.67270224,5.9187483622255,-5.612620280413,-2.152964785156,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_11,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,O=C1N(C=C2C1=CN(C2=O)C)C,1.2129127649088225,1.8589452932479047,0.8972358342452067,0.585422713,2.7605950133225003,5.719561023659501,-5.413432941847001,-2.0650720114445,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
