Name,SMILES,SYBA,Functional Group,Linker
c_13_v1_thio,COC1=CC2=C(C(C3=CC=C(C(SC=C4S5)=C4SC5=S)S3)=C1OC)N(C)C=C2,20.924849552415367,thio,none
c_16_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=C3N=CC=N4)=C1OC)N(C)C=C2,60.17098383763504,double,none
c_16_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=C3N=CC=N4)=C1OC)N(C)C=C2,51.15071409145636,triple,none
c_16_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=C3N=CC=N4)=C1OC)N(C)C=C2,54.31837857973792,imine,none
c_16_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=CC=CC5=C4N=CC=N5)S3)=C1OC)N(C)C=C2,29.96968910697713,thio,none
c_17_v1_double,COC1=CC2=C(C(/C=C/C3=C4N=CC=NC4=CS3)=C1OC)N(C)C=C2,35.08442977828345,double,none
c_17_v1_triple,COC1=CC2=C(C(/C#C/C3=C4N=CC=NC4=CS3)=C1OC)N(C)C=C2,36.91214042020486,triple,none
c_17_v1_imine,COC1=CC2=C(C(/C=N/C3=C4N=CC=NC4=CS3)=C1OC)N(C)C=C2,37.7174358391673,imine,none
c_17_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=C5N=CC=NC5=CS4)S3)=C1OC)N(C)C=C2,24.66780013274947,thio,none
c_18_v1_double,COC1=CC2=C(C(/C=C/C3=NC=CC4=NSN=C34)=C1OC)N(C)C=C2,36.80482799546376,double,none
c_18_v1_triple,COC1=CC2=C(C(/C#C/C3=NC=CC4=NSN=C34)=C1OC)N(C)C=C2,43.60824109291997,triple,none
c_18_v1_imine,COC1=CC2=C(C(/C=N/C3=NC=CC4=NSN=C34)=C1OC)N(C)C=C2,39.44625257222826,imine,none
c_18_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=NC=CC5=NSN=C45)S3)=C1OC)N(C)C=C2,28.12502026487084,thio,none
c_18_v3_double,COC1=CC2=C(C(/C=C/C3=CN=CC4=NSN=C34)=C1OC)N(C)C=C2,37.15448526045255,double,none
c_18_v3_triple,COC1=CC2=C(C(/C#C/C3=CN=CC4=NSN=C34)=C1OC)N(C)C=C2,39.786843706934334,triple,none
c_18_v3_imine,COC1=CC2=C(C(/C=N/C3=CN=CC4=NSN=C34)=C1OC)N(C)C=C2,37.99146601297544,imine,none
c_18_v3_thio,COC1=CC2=C(C(C3=CC=C(C4=CN=CC5=NSN=C45)S3)=C1OC)N(C)C=C2,18.842335713525337,thio,none
g_9_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=NSN=C34)=C1OC)NC=C2,52.74624725387466,double,none
g_9_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=NSN=C34)=C1OC)NC=C2,47.884873571466045,triple,none
g_9_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=NSN=C34)=C1OC)NC=C2,55.90457841952743,imine,none
g_9_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=CC=CC5=NSN=C45)S3)=C1OC)NC=C2,28.3461160044386,thio,none
g_9_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=CC=CC4=NSN=C34)=C2,68.2308639378209,double,none
g_9_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=CC=CC4=NSN=C34)=C2,64.5836917767235,triple,none
g_9_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=CC=CC4=NSN=C34)=C2,70.79914128629252,imine,none
g_9_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=CC=CC5=NSN=C45)S3)=C2,56.094793326113,thio,none
g_11_v1_double,O=C1C(C2=C(/C=C/C3=C(C(OC)=CC4=C3NC=C4)OC)N1C)=CN(C2=O)C,-15.40084699974302,double,none
g_11_v1_triple,O=C1C(C2=C(/C#C/C3=C(C(OC)=CC4=C3NC=C4)OC)N1C)=CN(C2=O)C,-7.210310472756744,triple,none
g_11_v1_imine,O=C1C(C2=C(/C=N/C3=C(C(OC)=CC4=C3NC=C4)OC)N1C)=CN(C2=O)C,-13.264199096437736,imine,none
g_11_v1_thio,O=C1C(C2=C(C3=CC=C(C4=C(C(OC)=CC5=C4NC=C5)OC)S3)N1C)=CN(C2=O)C,-23.4572288223258,thio,none
g_11_v2_double,O=C1C(C2=C(/C=C/C3=CC4=C(N3)C=C(C(OC)=C4)OC)N1C)=CN(C2=O)C,-2.5916857556886668,double,none
g_11_v2_triple,O=C1C(C2=C(/C#C/C3=CC4=C(N3)C=C(C(OC)=C4)OC)N1C)=CN(C2=O)C,6.813052292608861,triple,none
g_11_v2_imine,O=C1C(C2=C(/C=N/C3=CC4=C(N3)C=C(C(OC)=C4)OC)N1C)=CN(C2=O)C,-3.020300803197928,imine,none
