Name,SMILES,Planarity,HOMO-LUMO Energy Gap /eV,IP,EA,λ-Anion /meV,λ-Cation /meV,Linker Type,Melanin_substitution_type,Dyad_functionalisation_type
b_v2_double_b_9_A_amide_C,CNC(=O)c1ccc2nsnc2c1C=Cc1cc2cc(OC)c(OC)cc2n1C,0.936490342807066,2.4136498539350004,5.82823132253543,1.274400592148595,463.62376887555,480.1617602643091,double,R = CH$_3$,amide
b_v2_double_b_9_A_amine_A,CNc1ccc2nsnc2c1C=Cc1cc2cc(OC)c(OC)cc2n1C,0.921028211207556,2.4473919713970007,5.606262068176875,0.8237931171825039,360.8477281159139,423.7438514101086,double,R = CH$_3$,amine
b_v2_double_b_9_A_methoxy_B,COc1cc2cc(C=Cc3c(OC)ccc4nsnc34)n(C)c2cc1OC,0.9900429260259428,2.3725606625095006,5.571260063588852,0.9912356539498433,320.00343916297425,463.0452548371977,double,R = CH$_3$,methoxy
b_v2_double_b_9_A_carbonyl_A,COc1cc2cc(C=Cc3c(C=O)ccc4nsnc34)n(C)c2cc1OC,0.912756279802142,2.4582765254170003,6.225557000776462,1.5458189196433525,313.1978717574384,549.796783059719,double,R = CH$_3$,carbonyl
b_v2_double_b_9_A_carbonyl_B,COc1cc2cc(C=Cc3cc(C=O)cc4nsnc34)n(C)c2cc1OC,0.9995578080317848,2.1211274646475,6.010015075575211,1.4491121061946617,284.9638828629395,302.28120830724947,double,R = CH$_3$,carbonyl
b_v2_double_b_9_A_F_A,COc1cc2cc(C=Cc3c(F)ccc4nsnc34)n(C)c2cc1OC,0.999696430975771,2.3238522832700004,5.890173142557615,1.0724706180772046,269.1410066909157,307.3928669982706,double,R = CH$_3$,F
b_v2_double_b_9_A_F_B,COc1cc2cc(C=Cc3cc(F)cc4nsnc34)n(C)c2cc1OC,0.998847409111058,2.4226296110015,6.016244033722614,1.137730322268908,258.9590506322565,299.3559844180709,double,R = CH$_3$,F
b_v2_double_b_9_A_Cl_A,COc1cc2cc(C=Cc3cc(Cl)cc4nsnc34)n(C)c2cc1OC,0.997953707492348,2.3532405791240003,6.031252473141649,1.2537819814679096,253.84820828185184,298.74536093120696,double,R = CH$_3$,Cl
b_v2_double_b_9_A_Cl_C,COc1cc2cc(C=Cc3c(Cl)ccc4nsnc34)n(C)c2cc1OC,0.9994067637936804,2.3257570802235,5.953087769587,1.178195284534013,245.97677093697712,293.00457502540667,double,R = CH$_3$,Cl
b_v2_double_b_9_A_cyanide_B,COc1cc2cc(C=Cc3c(C#N)ccc4nsnc34)n(C)c2cc1OC,0.9964740662747203,2.3360974065425,6.1173092947065015,1.6545879958503065,196.3121836161008,631.8192446778994,double,R = CH$_3$,cyanide
b_v2_double_b_9_A_cyanide_C,COc1cc2cc(C=Cc3cc(C#N)cc4nsnc34)n(C)c2cc1OC,0.9993160368795936,2.3388185450475003,6.1513578123631305,1.6618052715130034,224.0884770144476,659.7130912632565,double,R = CH$_3$,cyanide
b_v2_double_b_9_A_sulf_acid_A,COc1cc2cc(C=Cc3c(S(=O)(=O)O)ccc4nsnc34)n(C)c2cc1OC,0.9304788928576482,2.293375532014,6.102043435581436,1.6078241421855637,347.58408270863583,561.2900557680405,double,R = CH$_3$,sulf
b_v2_double_b_9_A_sulf_acid_C,COc1cc2cc(C=Cc3cc(S(=O)(=O)O)cc4nsnc34)n(C)c2cc1OC,0.998821747858592,2.163305111475,6.115718789253151,1.608997224990162,376.7965930092032,312.5823502414278,double,R = CH$_3$,sulf
b_v2_double_b_9_A_Br_A,COc1cc2cc(C=Cc3c(Br)ccc4nsnc34)n(C)c2cc1OC,0.9951032159164572,2.3208590309145,5.945703960242099,1.1935743430367438,239.7140706743812,294.08432278432883,double,R = CH$_3$,Br
b_v2_double_b_9_A_Br_B,COc1cc2cc(C=Cc3cc(Br)cc4nsnc34)n(C)c2cc1OC,0.9993690892001807,2.3464377328615,6.019825324125122,1.265327227913076,248.42906097183004,296.60763453284744,double,R = CH$_3$,Br
b_v2_double_b_9_A_trifluro_A,COc1cc2cc(C=Cc3cc(C(F)(F)F)cc4nsnc34)n(C)c2cc1OC,0.9996647156751446,2.3747375733135008,6.033913202380063,1.4809698352473788,320.3277988795889,673.0515679882956,double,R = CH$_3$,trifluro
b_v2_double_b_9_A_trifluro_B,COc1cc2cc(C=Cc3c(C(F)(F)F)ccc4nsnc34)n(C)c2cc1OC,0.951605672903755,2.270517968572,6.034369265187706,1.347603843867546,295.0193059805315,304.68043613655027,double,R = CH$_3$,trifluro
b_v2_double_b_16_B_acetate_B,COC(=O)c1cc(C=Cc2cc3cc(OC)c(OC)cc3n2C)c2nccnc2c1,0.9992612940243604,2.4454871744435,5.832166633044835,1.023349170020083,310.4783659437089,323.03206631331705,double,R = CH$_3$,acetate
b_v2_double_b_16_B_carbonyl_C,COc1cc2cc(C=Cc3cc(C=O)cc4nccnc34)n(C)c2cc1OC,0.9994404480865366,2.3409954558515,5.929281889380945,1.168053329201939,296.861788861861,314.05883999104844,double,R = CH$_3$,carbonyl
b_v2_double_b_16_B_Br_C,COc1cc2cc(C=Cc3c(Br)ccc4nccnc34)n(C)c2cc1OC,0.9991402193351246,2.4460314021445,5.848741087684175,0.9884527455869828,245.7503722107504,301.9130382745061,double,R = CH$_3$,Br
b_v2_double_b_16_C_acetate_A,COC(=O)c1cnc2cccc(C=Cc3cc4cc(OC)c(OC)cc4n3C)c2n1,0.9958418208086868,2.2680689439175,5.859882245058543,1.2133145701882313,333.2246348145418,310.8046304405434,double,R = CH$_3$,acetate
b_v2_double_b_16_C_acetate_D,COC(=O)c1cnc2c(C=Cc3cc4cc(OC)c(OC)cc4n3C)cccc2n1,0.9921368110711508,2.4112008292805,5.849690220791672,1.0782965756152407,313.01990930660395,334.28778363304446,double,R = CH$_3$,acetate
b_v2_double_b_16_C_amide_A,CNC(=O)c1cnc2c(C=Cc3cc4cc(OC)c(OC)cc4n3C)cccc2n1,0.9940895311113735,2.4514736791545,5.849230620500748,1.049947210442042,299.0076786809368,333.4417816731729,double,R = CH$_3$,amide
b_v2_double_b_16_C_amide_D,CNC(=O)c1cnc2cccc(C=Cc3cc4cc(OC)c(OC)cc4n3C)c2n1,0.9640851713473924,2.469705307138,5.958638075797353,1.1497449651214993,354.5537347672507,351.9732791246497,double,R = CH$_3$,amide
b_v2_double_b_16_C_carbonyl_B,COc1cc2cc(C=Cc3cccc4ncc(C=O)nc34)n(C)c2cc1OC,0.9973713943851268,2.271878537824501,5.984152014643769,1.3052275539303082,292.8973621674231,305.4140550593729,double,R = CH$_3$,carbonyl
b_v2_double_b_16_C_carbonyl_D,COc1cc2cc(C=Cc3cccc4nc(C=O)cnc34)n(C)c2cc1OC,0.9939351421896204,2.2435786973725005,5.933958982233889,1.2514447956054937,293.56540167646017,324.6462456882,double,R = CH$_3$,carbonyl
b_v2_double_b_16_C_carbonyl_E,COc1cc2cc(C=Cc3ccc4nc(C=O)cnc4c3)n(C)c2cc1OC,0.9987186903323158,2.377458711818501,6.101913637277903,1.3882181966182543,271.13206372450804,295.4995869295089,double,R = CH$_3$,carbonyl
b_v2_double_b_16_C_Cl_C,COc1cc2cc(C=Cc3cccc4ncc(Cl)nc34)n(C)c2cc1OC,0.9996166196966504,2.4288882295630003,5.860924985339807,0.9842417837644462,277.35557960841106,308.0486613616813,double,R = CH$_3$,Cl
b_v2_double_b_16_C_cyanide_A,COc1cc2cc(C=Cc3cccc4ncc(C#N)nc34)n(C)c2cc1OC,0.997018316831799,2.4384122143305,6.009336695729871,1.4356939001227147,238.19213789101923,672.7476168161957,double,R = CH$_3$,cyanide
b_v2_double_b_16_C_cyanide_E,COc1cc2cc(C=Cc3cccc4nc(C#N)cnc34)n(C)c2cc1OC,0.9994843535946348,2.390792290493,6.077315905757132,1.383051843055,229.8583791125565,550.1203264357173,double,R = CH$_3$,cyanide
b_v2_double_b_16_C_sulf_acid_B,COc1cc2cc(C=Cc3cccc4nc(S(=O)(=O)O)cnc34)n(C)c2cc1OC,0.9966659959315451,2.225347069389,6.049378793068172,1.5984329489729134,458.1678861868568,386.26288965315325,double,R = CH$_3$,sulf
b_v2_double_b_16_C_sulf_acid_D,COc1cc2cc(C=Cc3cccc4ncc(S(=O)(=O)O)nc34)n(C)c2cc1OC,0.9778423194516488,2.4275276603105005,6.094117847576854,1.6268770097667584,503.6076338437852,687.8532008850016,double,R = CH$_3$,sulf
b_v2_double_b_16_C_Br_B,COc1cc2cc(C=Cc3cccc4ncc(Br)nc34)n(C)c2cc1OC,0.9996912635799888,2.4209969278985,5.856957293290179,1.0036894885415677,269.74183406855445,306.92156578879803,double,R = CH$_3$,Br
b_v2_double_b_17_A_acetate_A,COC(=O)c1cnc2c(C=Cc3cc4cc(OC)c(OC)cc4n3C)scc2n1,0.9997200433348696,2.2313335741,5.776356082307757,1.4676729919374338,331.19956354494207,647.5327310909051,double,R = CH$_3$,acetate
b_v2_double_b_17_A_acetate_C,COC(=O)c1cnc2csc(C=Cc3cc4cc(OC)c(OC)cc4n3C)c2n1,0.999779405027826,2.070514288454501,5.81532877220161,1.4503787961730268,294.2927619951661,312.6133712066803,double,R = CH$_3$,acetate
b_v2_double_b_17_A_amide_A,CNC(=O)c1cnc2c(C=Cc3cc4cc(OC)c(OC)cc4n3C)scc2n1,0.9997072607728998,2.2082038968075,5.806307653831027,1.4069445275817998,327.100168375182,533.524919024785,double,R = CH$_3$,amide
b_v2_double_b_17_A_amide_B,CNC(=O)c1cnc2csc(C=Cc3cc4cc(OC)c(OC)cc4n3C)c2n1,0.988228417036872,2.158407062166,5.8752376296397415,1.4306328546153964,311.39511749643134,338.74283159093466,double,R = CH$_3$,amide
b_v2_double_b_17_A_amine_B,CNc1cnc2csc(C=Cc3cc4cc(OC)c(OC)cc4n3C)c2n1,0.992250860650739,2.3529684652735003,5.391276071575703,0.8058172762175673,421.1421708969283,384.8084411220043,double,R = CH$_3$,amine
