Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_79_single_A,COc1cc2cc[nH]c2c(C2:nc(S)cc3nsnc:23)c1OC,-5.456175,-2.782491,2.673684,3.371363549197609,0.564153111684913,Single,SH,DHI,Unmethlyated,7 - DHI,single
0_80_single_A,COc1cc2cc[nH]c2c(C2:nc(Br)cc3nsnc:23)c1OC,-5.319047,-2.895613,2.423434,3.184725786959848,0.6510502505672107,Single,Br,DHI,Unmethlyated,7 - DHI,single
0_81_single_A,COc1cc2cc[nH]c2c(C2:nccc3nsnc:23)c1OC,-5.168051,-2.6339,2.534151,2.936092347571373,0.62018938798555,Single,none,DHI,Unmethlyated,7 - DHI,single
0_82_single_A,COc1cc2cc[nH]c2c(C2:nc(C)cc3nsnc:23)c1OC,-5.328697,-2.601175,2.727522,3.0075852275192885,0.601208031210258,Single,methyl,DHI,Unmethlyated,7 - DHI,single
0_83_single_A,COc1cc2cc[nH]c2c(C2:nc(C#N)cc3nsnc:23)c1OC,-5.40082,-3.146127,2.254693,3.2387665832542325,0.654738306220621,Single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_84_single_A,COc1cc2cc[nH]c2c(C2:nncc3nsnc:23)c1OC,-5.269517,-2.994647,2.27487,3.16980028026368,0.6804677130171605,Single,none,DHI,Unmethlyated,7 - DHI,single
0_85_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(OC(C)=O)nc:23)c1OC,-4.99829,-2.327072,2.671218,3.143680632914804,0.7646233626304013,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_86_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(NC(C)=O)nc:23)c1OC,-5.10418,-2.260632,2.843549,3.0517253314595028,0.7662640297485566,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_87_single_A,CNc1cnc2cs:C(c3c(OC)c(OC)cc4cc[nH]c34):c2n1,-4.81572,-1.948158,2.867562,3.1190796267324945,0.75025383543876,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_88_single_A,COc1cnc2cs:C(c3c(OC)c(OC)cc4cc[nH]c34):c2n1,-5.068599,-2.050682,3.017917,3.0434595598428604,0.6995159291674264,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_89_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(C=O)nc:23)c1OC,-5.455149,-2.81468,2.640468,3.19823347288634,0.16622463530734272,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_90_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(S(=O)(=O)O)nc:23)c1OC,-5.736801,-2.979554,2.757248,3.301554673868297,0.5006536723943192,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_91_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(C(F)(F)F)nc:23)c1OC,-5.490108,-2.671082,2.819027,3.136483862487898,0.2200933838292228,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_92_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(F)nc:23)c1OC,-5.140804,-2.433364,2.70744,3.179799912833973,0.8531965817489642,Single,F,DHI,Unmethlyated,7 - DHI,single
0_93_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(O)nc:23)c1OC,-5.106032,-2.173874,2.932157,3.253046066680126,0.7595908483787488,Single,OH,DHI,Unmethlyated,7 - DHI,single
0_94_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(S)nc:23)c1OC,-5.158966,-2.416676,2.74229,3.388471940806001,0.879875524174468,Single,SH,DHI,Unmethlyated,7 - DHI,single
0_95_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(Br)nc:23)c1OC,-5.193728,-2.573565,2.620163,3.163048164582226,0.8846559027993012,Single,Br,DHI,Unmethlyated,7 - DHI,single
0_96_single_A,COc1cc2cc[nH]c2c(C2:scc3nccnc:23)c1OC,-5.050797,-2.353748,2.697049,2.957333212955988,0.889895052932854,Single,none,DHI,Unmethlyated,7 - DHI,single
0_97_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(C)nc:23)c1OC,-5.002682,-2.203598,2.799085,3.003657954792016,0.8626091024651845,Single,methyl,DHI,Unmethlyated,7 - DHI,single
0_98_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(C#N)nc:23)c1OC,-5.458778,-2.909012,2.549767,3.188390663521792,0.23123426516838314,Single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_99_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(OC(C)=O)cnc:23)c1OC,-5.075911,-2.354939,2.720972,3.155928865763037,0.8866133816800689,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_100_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(NC(C)=O)cnc:23)c1OC,-4.969941,-2.268298,2.701643,3.04718416721834,0.9077368714715562,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_101_single_A,CNc1cnc2:C(c3c(OC)c(OC)cc4cc[nH]c34):scc2n1,-4.81207,-2.003414,2.808656,3.1142093926187817,0.8626763388803946,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_102_single_A,COc1cnc2:C(c3c(OC)c(OC)cc4cc[nH]c34):scc2n1,-4.977059,-2.116431,2.860628,3.056595345796038,0.8634848463530171,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_103_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C=O)cnc:23)c1OC,-5.244991,-2.861173,2.383818,3.196272937769283,0.8816589933954271,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_104_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(S(=O)(=O)O)cnc:23)c1OC,-5.570556,-3.078539,2.492017,3.2790176875669266,0.16975285388169217,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_105_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C(F)(F)F)cnc:23)c1OC,-5.528483,-2.651938,2.876546,3.1511342312971697,0.17262279937191927,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_106_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(F)cnc:23)c1OC,-5.177626,-2.476003,2.701623,3.192143968778028,0.8883847896924436,Single,F,DHI,Unmethlyated,7 - DHI,single
0_107_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(O)cnc:23)c1OC,-5.027499,-2.227139,2.80036,3.247064947799009,0.8917655598251113,Single,OH,DHI,Unmethlyated,7 - DHI,single
0_108_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(S)cnc:23)c1OC,-5.171515,-2.438972,2.732543,3.400815996750058,0.898775242035524,Single,SH,DHI,Unmethlyated,7 - DHI,single
0_109_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(Br)cnc:23)c1OC,-5.234509,-2.596595,2.637913,3.181709003743064,0.8932576821448504,Single,Br,DHI,Unmethlyated,7 - DHI,single
0_110_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C)cnc:23)c1OC,-4.992633,-2.209815,2.782818,3.0118187939528536,0.8931785060186906,Single,methyl,DHI,Unmethlyated,7 - DHI,single
0_111_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C#N)cnc:23)c1OC,-5.368393,-2.97962,2.388773,3.200198021381322,0.8805820993864215,Single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_139_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ccc3nonc:23)c1OC,-5.290943,-2.389142,2.901801,2.8795165996507706,0.15354548107830399,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_140_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ccc3nonc:23)c1OC,-5.563158,-2.337272,3.225886,2.838357971792144,0.3802400538886164,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_141_single_A,CNc1ccc2nonc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.274487,-1.973614,3.300873,2.9203090581706217,0.13437282100587078,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_142_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ccc3nonc:23)c1OC,-5.228763,-2.240257,2.988505,2.7807558809130946,0.33123326239152867,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_143_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ccc3nonc:23)c1OC,-5.658989,-2.868612,2.790378,2.9695511986388468,0.3774987553870197,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_144_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ccc3nonc:23)c1OC,-5.782903,-3.011435,2.771468,2.956798720232891,0.1462990355167797,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_145_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ccc3nonc:23)c1OC,-5.36809,-2.708675,2.659415,2.9422185305595505,0.12616459340524283,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_146_single_A,COc1cc2cc[nH]c2c(C2:c(F)ccc3nonc:23)c1OC,-5.289515,-2.429832,2.859682,2.81499361912768,0.3043706272798286,Single,F,DHI,Unmethlyated,7 - DHI,single
0_147_single_A,COc1cc2cc[nH]c2c(C2:c(O)ccc3nonc:23)c1OC,-5.466734,-2.24457,3.222165,2.861764248498309,0.5488048628331074,Single,OH,DHI,Unmethlyated,7 - DHI,single
0_148_single_A,COc1cc2cc[nH]c2c(C2:c(S)ccc3nonc:23)c1OC,-5.44487,-2.344101,3.100769,3.0610670457011064,0.09787540202185056,Single,SH,DHI,Unmethlyated,7 - DHI,single
0_149_single_A,COc1cc2cc[nH]c2c(C2:c(Br)ccc3nonc:23)c1OC,-5.351021,-2.559128,2.791892,2.8991740387081,0.10833629354883882,Single,Br,DHI,Unmethlyated,7 - DHI,single
0_150_single_A,COc1cc2cc[nH]c2c(C2:cccc3nonc:23)c1OC,-5.38742,-2.471045,2.916375,2.6687663860329103,0.5899482456801474,Single,none,DHI,Unmethlyated,7 - DHI,single
0_151_single_A,COc1cc2cc[nH]c2c(C2:c(C)ccc3nonc:23)c1OC,-5.39062,-2.281963,3.108657,2.8115887240227853,0.2857994176804805,Single,methyl,DHI,Unmethlyated,7 - DHI,single
0_152_single_A,COc1cc2cc[nH]c2c(C2:c(C#N)ccc3nonc:23)c1OC,-5.373016,-2.979053,2.393963,2.953214743789349,0.2948172813739748,Single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_153_single_A,COc1cc2cc[nH]c2c(C2:cc(OC(C)=O)cc3nonc:23)c1OC,-5.221462,-2.356148,2.865314,2.902755684889856,0.342988613967736,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_154_single_A,COc1cc2cc[nH]c2c(C2:cc(NC(C)=O)cc3nonc:23)c1OC,-5.442703,-2.358844,3.083858,2.827279177613349,0.6088933833395559,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_155_single_A,CNc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):c2nonc2c1,-5.298847,-2.012342,3.286505,2.93972778726761,0.5421590354558686,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_156_single_A,COc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):c2nonc2c1,-5.404293,-2.333885,3.070408,2.8010013658629287,0.5475161908694548,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
